match_id,source,temp_c,rh_pct,wind_ms,solar_wm2,wbgt_est,climate_controlled,as_of
B2,forecast,21.5,62.0,4.5,650,22.36,false,2026-06-13 07:00 ET
C1,forecast,25.8,65.0,4.5,650,27.03,false,2026-06-13 07:00 ET
C2,forecast,28.2,68.0,4.5,650,30.12,false,2026-06-13 07:00 ET
D2,forecast,35.0,55.0,4.5,650,21.00,true,2026-06-13 07:00 ET
E1,forecast,28.1,80,11.2,157.0,21.00,true,2026-06-14 07:42 ET
F1,forecast,28.4,82,9.4,914.0,21.00,true,2026-06-14 07:42 ET
E2,forecast,30.5,40,19.6,237.0,28.07,false,2026-06-14 07:42 ET
F2,forecast,27.2,75,14.2,,29.96,false,2026-06-14 07:42 ET
A1,actual,22.6,53,,,22.45,false,2026-07-16 08:12 ET
A2,actual,21.0,77,,,23.35,false,2026-07-16 08:12 ET
B1,actual,26.3,44,,,24.75,false,2026-07-16 08:12 ET
B2,actual,26.1,43,,,24.44,false,2026-07-16 08:12 ET
C1,actual,31.3,29,,,26.88,false,2026-07-16 08:12 ET
C2,actual,25.2,42,,,23.50,false,2026-07-16 08:12 ET
D1,actual,23.3,64,,,24.33,false,2026-07-16 08:12 ET
D2,actual,22.6,46,,,21.70,false,2026-07-15 08:08 ET
H1,forecast,25.8,57,18.0,882.0,21.00,true,2026-06-15 09:05 ET
G1,forecast,27.8,41,3.7,849.0,25.70,false,2026-06-15 09:05 ET
H2,forecast,29.3,69,8.3,314.0,31.57,false,2026-06-15 09:05 ET
G2,forecast,19.8,83,18.0,314.0,22.68,false,2026-06-15 09:05 ET
E2,actual,28.3,47,,,27.07,false,2026-07-16 08:12 ET
F1,actual,28.6,70,,,21.00,true,2026-07-16 08:12 ET
F2,actual,25.5,85,,,29.27,false,2026-07-16 08:12 ET
I1,forecast,25.9,29,10.9,916.0,22.42,false,2026-06-16 08:36 ET
I2,forecast,24.3,29,10.8,386.0,21.17,false,2026-06-16 08:36 ET
J1,forecast,28.4,24,3.7,133.0,23.68,false,2026-06-16 08:36 ET
J2,forecast,16.4,88,13.1,,19.68,false,2026-06-16 08:36 ET
E1,actual,29.5,73,,,21.00,true,2026-07-16 08:12 ET
G1,actual,27.5,38,,,25.00,false,2026-07-16 08:12 ET
G2,actual,21.9,63,,,22.85,false,2026-07-16 08:12 ET
H1,actual,26.1,54,,,21.00,true,2026-07-16 08:12 ET
H2,actual,31.7,54,,,31.80,false,2026-07-16 08:12 ET
K1,forecast,27.9,86,20.3,586.0,21.00,true,2026-06-17 08:26 ET
L1,forecast,33.1,52,23.7,980.0,21.00,true,2026-06-17 08:26 ET
L2,forecast,17.2,73,13.1,217.0,19.31,false,2026-06-17 08:26 ET
K2,forecast,16.7,89,2.5,1.0,20.04,false,2026-06-17 08:26 ET
I1,actual,24.6,34,,,22.01,false,2026-07-16 08:12 ET
J1,actual,24.9,58,,,25.21,false,2026-07-16 08:12 ET
J2,actual,16.8,74,,,19.02,false,2026-07-16 08:12 ET
A3,forecast,26.1,83,17.0,114.0,21.00,true,2026-06-18 08:09 ET
B3,forecast,20.0,75,9.8,382.0,22.15,false,2026-06-18 08:09 ET
B4,forecast,22.7,51,19.5,888.0,22.32,false,2026-06-18 08:09 ET
A4,forecast,21.1,69,11.9,140.0,22.67,false,2026-06-18 08:09 ET
I2,actual,23.3,37,,,21.30,false,2026-07-16 08:12 ET
K1,actual,28.6,79,,,21.00,true,2026-07-16 08:12 ET
K2,actual,17.9,82,,,20.68,false,2026-07-16 08:12 ET
L1,actual,32.5,52,,,21.00,true,2026-07-15 08:08 ET
D3,forecast,23.8,49,10.7,869.0,23.10,false,2026-06-19 08:21 ET
C3,forecast,24.2,38,23.8,437.0,22.16,false,2026-06-19 08:21 ET
C4,forecast,26.2,30,12.1,90.0,22.79,false,2026-06-19 08:21 ET
D4,forecast,19.1,66,14.0,100.0,20.49,false,2026-06-19 08:21 ET
A3,actual,27.7,76,,,21.00,true,2026-07-16 08:12 ET
A4,actual,20.9,80,,,23.54,false,2026-07-16 08:12 ET
B3,actual,21.4,60,,,22.07,false,2026-07-16 08:12 ET
B4,actual,20.3,56,,,20.68,false,2026-07-16 08:12 ET
L2,actual,18.7,75,,,20.88,false,2026-07-16 08:12 ET
F3,forecast,28.2,81,10.2,472.0,21.00,true,2026-06-20 07:39 ET
E3,forecast,23.4,40,10.9,838.0,21.72,false,2026-06-20 07:39 ET
E4,forecast,31.2,38,12.1,293.0,28.39,false,2026-06-20 07:39 ET
F4,forecast,24.1,77,8.5,,26.66,false,2026-06-20 07:39 ET
C3,actual,24.2,45,,,22.99,false,2026-07-16 08:12 ET
D3,actual,23.2,45,,,22.11,false,2026-07-16 08:12 ET
D4,actual,20.5,58,,,21.05,false,2026-07-16 08:12 ET
H3,forecast,26.6,72,10.5,757.0,21.00,true,2026-06-21 07:54 ET
G3,forecast,21.9,65,14.4,947.0,23.05,false,2026-06-21 07:54 ET
H4,forecast,26.8,85,19.4,189.0,30.87,false,2026-06-21 07:54 ET
G4,forecast,23.3,44,18.1,518.0,22.08,false,2026-06-21 07:54 ET
C4,actual,26.7,31,,,23.33,false,2026-07-16 08:12 ET
E4,actual,26.5,61,,,27.24,false,2026-07-16 08:12 ET
F3,actual,27.7,82,,,21.00,true,2026-07-15 08:08 ET
F4,actual,23.3,96,,,27.91,false,2026-07-16 08:12 ET
J3,forecast,30.6,70,8.0,326.0,21.00,true,2026-06-22 09:03 ET
I3,forecast,33.1,37,22.0,261.0,30.04,false,2026-06-22 09:03 ET
I4,forecast,21.9,90,11.7,72.0,25.63,false,2026-06-22 09:03 ET
J4,forecast,16.8,77,14.8,100.0,19.24,false,2026-06-22 09:03 ET
E3,actual,23.0,38,,,21.16,false,2026-07-16 08:12 ET
